"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2025","378.23","378.00","378.30","376.87","17.96K","0.10%"
"02/07/2025","377.84","376.39","379.25","376.02","19.27K","0.53%"
"02/06/2025","375.86","373.17","375.93","372.93","15.96K","0.69%"
"02/05/2025","373.27","373.46","373.60","372.33","14.12K","0.20%"
"01/27/2025","372.54","373.83","374.78","372.40","13.30K","-0.29%"
"01/24/2025","373.64","371.75","373.92","371.40","16.73K","0.47%"
"01/23/2025","371.87","372.71","373.88","371.85","17.25K","0.03%"
"01/22/2025","371.75","372.08","372.28","371.12","14.18K","-0.14%"
"01/21/2025","372.25","371.50","372.33","370.99","13.39K","0.29%"
"01/20/2025","371.16","370.42","372.05","369.81","13.49K","0.34%"
"01/17/2025","369.92","368.73","370.29","367.93","11.50K","0.25%"
"01/16/2025","368.98","369.75","371.03","368.46","12.08K","-0.07%"
"01/15/2025","369.22","368.10","369.42","367.88","11.60K","0.26%"
"01/14/2025","368.26","365.10","368.41","364.95","16.35K","0.87%"
"01/13/2025","365.10","365.43","365.99","364.41","12.54K","-0.20%"
"01/10/2025","365.85","366.66","366.80","365.52","12.31K","-0.23%"
"01/09/2025","366.68","365.93","367.69","365.58","13.07K","0.15%"
"01/08/2025","366.12","366.09","366.88","364.61","15.62K","0.03%"
"01/07/2025","366.03","363.71","366.19","363.09","17.03K","0.63%"
"01/06/2025","363.74","364.37","364.76","362.88","15.12K","-0.17%"
"01/03/2025","364.36","365.47","366.35","364.32","15.20K","-0.27%"
"01/02/2025","365.34","368.03","368.58","365.02","16.55K","-0.72%"
"12/31/2024","367.97","370.54","371.11","367.90","16.55K","-0.64%"
"12/30/2024","370.36","369.66","370.48","368.75","15.56K","0.15%"
"12/27/2024","369.82","369.21","370.31","369.21","17.08K","0.20%"
"12/26/2024","369.10","368.47","369.55","368.33","16.19K","0.14%"
"12/25/2024","368.58","369.07","369.36","367.57","15.44K","-0.13%"
"12/24/2024","369.04","367.42","369.14","367.42","18.05K","0.45%"
"12/23/2024","367.38","368.56","368.64","367.06","17.14K","-0.32%"
"12/20/2024","368.55","367.33","368.95","367.29","17.87K","0.33%"
"12/19/2024","367.35","367.53","368.41","366.25","18.07K","-0.16%"
"12/18/2024","367.94","366.40","369.16","366.40","18.23K","0.43%"
"12/17/2024","366.37","368.11","369.04","365.87","17.77K","-0.50%"
"12/16/2024","368.20","370.65","370.91","367.94","17.04K","-0.68%"
"12/13/2024","370.72","372.44","372.44","370.70","16.88K","-0.50%"
"12/12/2024","372.58","370.40","372.74","370.40","19.88K","0.59%"
"12/11/2024","370.39","368.01","370.88","367.83","18.89K","0.61%"
"12/10/2024","368.13","368.55","370.12","368.08","23.53K","0.61%"
"12/09/2024","365.91","365.49","366.77","365.12","16.64K","0.10%"
"12/06/2024","365.56","363.84","366.09","363.35","20.65K","0.51%"
"12/05/2024","363.70","362.62","364.03","362.31","16.52K","0.33%"
"12/04/2024","362.52","363.91","364.00","362.28","14.76K","-0.34%"
"12/03/2024","363.77","363.38","364.05","362.68","17.61K","0.13%"
"12/02/2024","363.28","362.06","363.94","361.75","22.25K","0.34%"
"11/29/2024","362.05","360.10","362.98","360.10","24.30K","0.56%"
"11/28/2024","360.04","359.65","360.75","359.36","21.03K","0.16%"
"11/27/2024","359.46","356.63","359.56","355.49","16.99K","0.79%"
"11/26/2024","356.65","356.55","357.87","356.09","17.91K","0.02%"
"11/25/2024","356.59","356.92","357.57","355.69","19.34K","-0.06%"
"11/22/2024","356.80","359.49","359.75","356.73","17.33K","-0.75%"
"11/21/2024","359.49","359.11","359.68","358.66","18.63K","0.14%"
"11/20/2024","359.00","357.63","359.31","357.15","19.06K","0.41%"
"11/19/2024","357.54","355.74","357.57","354.89","17.79K","0.51%"
"11/18/2024","355.73","357.67","358.26","355.29","19.91K","-0.45%"
"11/15/2024","357.33","359.36","359.92","357.33","18.51K","-0.60%"
"11/14/2024","359.48","362.14","362.45","359.26","21.26K","-0.75%"
"11/13/2024","362.21","362.01","362.27","360.34","23.36K","0.02%"
"11/12/2024","362.13","363.55","365.05","361.59","26.31K","-0.31%"
"11/11/2024","363.27","360.03","363.29","359.76","25.41K","0.83%"
"11/08/2024","360.29","361.43","362.57","359.93","24.71K","-0.12%"
"11/07/2024","360.72","358.00","360.98","357.17","25.51K","0.71%"
"11/06/2024","358.16","358.74","360.94","357.96","25.84K","-0.14%"
"11/05/2024","358.66","355.89","358.72","355.68","24.18K","0.77%"
"11/04/2024","355.92","354.26","355.96","353.49","21.66K","0.54%"
"11/01/2024","354.00","354.15","355.14","352.82","21.73K","-0.05%"
"10/31/2024","354.18","353.23","354.98","352.83","26.68K","0.38%"
"10/30/2024","352.84","353.66","354.33","351.98","23.83K","-0.31%"
"10/29/2024","353.95","355.89","357.25","353.78","26.20K","-0.42%"
"10/28/2024","355.43","355.13","355.83","353.49","25.06K","0.09%"
"10/25/2024","355.11","352.77","355.48","352.77","27.35K","0.76%"
"10/24/2024","352.43","354.50","354.50","351.87","20.02K","-0.50%"
"10/23/2024","354.21","353.03","355.69","352.51","31.64K","0.39%"
"10/22/2024","352.82","352.42","353.56","351.82","26.54K","0.14%"
"10/21/2024","352.32","350.94","352.86","350.53","26.18K","0.49%"
"10/18/2024","350.61","347.54","352.08","347.40","26.49K","0.85%"
"10/17/2024","347.66","348.23","349.98","347.59","21.12K","-0.05%"
"10/16/2024","347.84","344.84","348.69","344.84","23.83K","0.65%"
"10/15/2024","345.60","346.01","349.45","345.24","23.84K","-0.15%"
"10/14/2024","346.13","342.30","346.49","341.98","26.62K","1.34%"
"10/11/2024","341.54","344.51","344.51","341.18","26.35K","-0.94%"
"10/10/2024","344.77","345.24","347.73","342.23","35.87K","0.26%"
"10/09/2024","343.88","353.23","353.23","343.81","40.24K","-3.54%"
"10/08/2024","356.48","371.72","373.79","350.77","59.26K","1.82%"
"09/30/2024","350.10","346.09","351.71","345.47","42.22K","2.21%"
"09/27/2024","342.54","341.50","345.93","341.36","31.09K","0.88%"
"09/26/2024","339.57","334.96","339.78","334.19","18.10K","1.35%"
"09/25/2024","335.05","333.95","338.69","333.95","19.42K","0.53%"
"09/24/2024","333.30","327.76","333.57","327.76","15.92K","1.81%"
"09/23/2024","327.38","327.16","328.24","326.74","7.82K","0.06%"
"09/20/2024","327.19","328.21","328.21","326.85","9.34K","-0.17%"
"09/19/2024","327.75","326.65","328.75","325.76","11.43K","0.35%"
"09/18/2024","326.61","327.26","327.34","325.15","8.89K","-0.20%"
"09/13/2024","327.28","328.06","328.47","327.25","8.21K","-0.24%"
"09/12/2024","328.05","328.18","329.09","328.04","10.31K","-0.06%"
"09/11/2024","328.24","329.39","329.61","328.01","10.10K","-0.38%"
"09/10/2024","329.49","331.03","331.23","328.17","12.01K","-0.47%"
"09/09/2024","331.03","332.72","333.00","330.96","9.79K","-0.55%"
"09/06/2024","332.86","333.68","334.67","332.80","13.36K","-0.18%"
"09/05/2024","333.46","331.80","333.64","331.80","14.11K","0.47%"
"09/04/2024","331.91","331.52","332.37","330.93","14.73K","0.04%"
"09/03/2024","331.79","331.46","332.45","330.85","13.50K","0.08%"
"09/02/2024","331.52","333.00","333.04","331.50","12.72K","-0.43%"
"08/30/2024","332.95","330.25","333.87","330.24","16.42K","0.81%"
"08/29/2024","330.29","329.66","330.43","328.43","12.60K","0.15%"
"08/28/2024","329.80","330.09","330.50","329.39","11.37K","-0.13%"
"08/27/2024","330.23","330.63","330.78","329.33","14.23K","-0.17%"
"08/26/2024","330.80","328.92","331.71","328.92","16.51K","0.60%"
"08/23/2024","328.82","328.34","328.94","325.15","19.43K","0.16%"
"08/22/2024","328.31","329.69","330.70","328.27","16.35K","-0.43%"
"08/21/2024","329.73","330.27","330.46","329.38","17.76K","-0.20%"
"08/20/2024","330.39","332.75","332.93","330.07","16.71K","-0.70%"
"08/19/2024","332.73","331.95","333.22","331.42","17.21K","0.55%"
"08/16/2024","330.92","334.10","334.18","330.09","21.07K","-0.92%"
"08/15/2024","333.98","335.01","335.42","333.91","17.62K","-0.33%"
"08/14/2024","335.08","336.14","336.26","335.05","15.13K","-0.28%"
"08/13/2024","336.02","336.22","336.47","335.66","14.74K","-0.08%"
"08/12/2024","336.30","337.44","337.53","336.30","11.79K","-0.32%"
"08/09/2024","337.38","337.66","338.28","337.36","10.90K","-0.03%"
"08/08/2024","337.48","337.69","337.89","336.52","10.92K","-0.09%"
"08/07/2024","337.80","337.44","338.17","336.74","13.63K","0.12%"
"08/06/2024","337.41","337.74","338.66","337.12","11.59K","0.03%"
"08/05/2024","337.31","339.28","339.99","337.06","12.79K","-0.69%"
"08/02/2024","339.64","339.97","340.62","339.54","10.54K","-0.22%"
"08/01/2024","340.38","340.39","341.11","340.05","13.58K","0.01%"
"07/31/2024","340.34","337.39","340.56","337.20","14.42K","0.86%"
"07/30/2024","337.45","337.98","338.22","336.83","11.28K","-0.18%"
"07/29/2024","338.07","337.99","338.71","337.18","12.77K","0.07%"
"07/26/2024","337.85","334.80","337.92","334.80","14.88K","0.91%"
"07/25/2024","334.81","334.71","335.99","334.03","21.08K","-0.09%"
"07/24/2024","335.12","338.13","338.44","335.03","20.59K","-0.90%"
"07/23/2024","338.17","340.78","341.06","338.02","17.95K","-0.76%"
"07/22/2024","340.75","342.60","342.60","340.38","12.45K","-0.53%"
"07/19/2024","342.56","342.28","342.96","341.68","17.76K","0.01%"
"07/18/2024","342.54","342.49","342.67","340.89","18.53K","-0.04%"
"07/17/2024","342.67","344.81","345.00","342.28","17.91K","-0.65%"
"07/16/2024","344.93","345.56","345.93","344.56","31.57K","-0.19%"
"07/15/2024","345.58","346.69","346.71","345.27","34.93K","-0.34%"
"07/12/2024","346.75","347.57","348.14","346.66","33.54K","-0.17%"
"07/11/2024","347.34","346.55","347.81","346.41","23.87K","0.46%"
"07/10/2024","345.75","346.45","347.58","345.65","35.75K","-0.24%"
"07/09/2024","346.57","344.91","346.63","343.97","21.85K","0.49%"
"07/08/2024","344.88","347.35","347.52","344.66","18.64K","-0.76%"
"07/05/2024","347.53","347.30","347.64","346.22","26.13K","0.07%"
"07/04/2024","347.29","349.30","349.95","347.02","32.91K","-0.52%"
"07/03/2024","349.11","350.93","351.14","349.03","29.63K","-0.41%"
"07/02/2024","350.54","350.12","351.40","350.02","23.33K","0.14%"
"07/01/2024","350.05","348.48","350.12","347.85","22.28K","0.46%"
"06/28/2024","348.47","347.00","349.39","346.87","24.77K","0.38%"
"06/27/2024","347.16","347.92","348.61","346.57","23.50K","-0.13%"
"06/26/2024","347.61","343.79","347.64","343.38","25.43K","1.17%"
"06/25/2024","343.60","342.33","344.86","342.33","24.75K","0.24%"
"06/24/2024","342.79","346.39","346.48","342.61","21.50K","-1.13%"
"06/21/2024","346.70","348.29","348.78","346.26","16.75K","-0.56%"
"06/20/2024","348.64","351.56","351.67","347.41","17.19K","-0.82%"
"06/19/2024","351.52","352.69","353.10","351.41","11.33K","-0.33%"
"06/18/2024","352.69","352.29","352.98","352.13","12.01K","0.08%"
"06/17/2024","352.42","352.98","353.48","352.35","12.47K","-0.22%"
"06/14/2024","353.20","352.66","353.31","351.48","16.02K","0.14%"
"06/13/2024","352.71","353.40","353.73","352.26","12.97K","-0.23%"
"06/12/2024","353.52","352.66","353.61","352.41","12.35K","0.21%"
"06/11/2024","352.77","352.60","352.86","351.82","13.06K","0.01%"
"06/07/2024","352.74","352.88","353.74","351.52","20.48K","0.08%"
"06/06/2024","352.45","353.56","354.12","351.98","21.23K","-0.25%"
"06/05/2024","353.32","353.70","354.48","353.16","27.26K","-0.10%"
"06/04/2024","353.68","352.86","354.86","352.48","25.66K","0.23%"
"06/03/2024","352.87","356.09","356.15","351.91","28.17K","-0.87%"
"05/31/2024","355.99","356.50","357.58","355.91","20.27K","-0.12%"
"05/30/2024","356.41","356.69","357.94","356.11","16.48K","-0.09%"
"05/29/2024","356.74","357.21","358.38","356.29","16.93K","-0.14%"
"05/28/2024","357.23","357.31","357.91","356.88","17.18K","0.01%"
"05/27/2024","357.21","356.10","357.23","355.51","15.77K","0.33%"
"05/24/2024","356.05","356.43","358.47","355.76","11.75K","-0.12%"
"05/23/2024","356.48","357.78","357.99","356.36","9.41K","-0.44%"
"05/22/2024","358.06","357.51","358.20","357.50","11.24K","0.14%"
"05/21/2024","357.57","357.96","358.18","357.10","12.08K","-0.12%"
"05/20/2024","357.99","356.91","358.19","356.91","15.20K","0.34%"
"05/17/2024","356.79","356.72","357.08","355.55","10.19K","0.01%"
"05/16/2024","356.76","356.65","357.64","356.64","10.12K","0.06%"
"05/15/2024","356.55","357.18","357.37","356.47","10.00K","-0.18%"
"05/14/2024","357.18","356.74","357.61","356.74","11.22K","0.11%"
"05/13/2024","356.77","356.66","357.58","355.13","13.64K","-0.02%"
"05/10/2024","356.85","356.62","357.08","355.45","12.89K","0.11%"
"05/09/2024","356.48","353.93","356.59","353.93","13.64K","0.73%"
"05/08/2024","353.91","354.29","354.87","353.80","12.74K","-0.12%"
"05/07/2024","354.33","353.13","354.70","352.96","15.38K","0.35%"
"05/06/2024","353.09","351.24","353.10","351.24","12.97K","0.71%"
"04/30/2024","350.61","349.83","351.04","349.83","10.09K","0.27%"
"04/29/2024","349.68","348.98","349.87","348.78","12.71K","0.14%"
"04/26/2024","349.19","347.83","349.19","347.83","14.76K","0.42%"
"04/25/2024","347.73","347.30","348.09","346.90","9.37K","0.14%"
"04/24/2024","347.24","347.03","347.52","346.52","10.33K","0.12%"
"04/23/2024","346.84","347.14","347.48","346.38","9.18K","-0.11%"
"04/22/2024","347.23","348.15","348.91","346.98","10.25K","-0.31%"
"04/19/2024","348.31","348.69","349.41","347.82","12.09K","-0.16%"
"04/18/2024","348.86","347.86","349.64","347.47","16.29K","0.30%"
"04/17/2024","347.84","345.46","347.89","345.46","13.62K","0.72%"
"04/16/2024","345.36","347.10","347.42","345.21","12.84K","-0.53%"
"04/15/2024","347.18","347.54","348.16","346.47","13.38K","-0.14%"
"04/12/2024","347.66","347.21","348.29","347.21","10.77K","0.14%"
"04/11/2024","347.16","346.16","347.44","346.06","12.90K","0.23%"
"04/10/2024","346.37","346.56","346.74","345.93","12.05K","-0.05%"
"04/09/2024","346.53","345.64","346.64","345.64","11.85K","0.26%"
"04/08/2024","345.62","346.15","346.29","345.40","12.70K","-0.16%"
"04/03/2024","346.18","345.88","346.30","345.10","17.34K","0.09%"
"04/02/2024","345.87","345.76","345.98","345.26","16.45K","0.06%"
"04/01/2024","345.68","344.43","345.76","344.43","13.98K","0.42%"
"03/29/2024","344.24","343.48","344.26","342.71","14.94K","0.23%"
"03/28/2024","343.44","342.85","344.52","342.85","14.46K","0.15%"
"03/27/2024","342.93","344.22","344.37","342.92","12.25K","-0.39%"
"03/26/2024","344.26","344.78","345.14","343.52","13.90K","-0.19%"
"03/25/2024","344.91","345.38","346.09","344.75","11.92K","-0.16%"
"03/22/2024","345.46","346.36","346.41","344.91","11.65K","-0.27%"
"03/21/2024","346.40","346.04","346.63","345.94","11.20K","0.12%"
"03/20/2024","346.00","345.06","346.15","344.73","14.70K","0.26%"
"03/19/2024","345.09","344.90","345.66","344.74","14.16K","0.02%"
"03/18/2024","345.01","343.91","345.09","343.87","13.03K","0.35%"
"03/15/2024","343.80","342.87","343.90","342.59","9.10K","0.26%"
"03/14/2024","342.91","343.01","343.51","342.50","11.47K","-0.05%"
"03/13/2024","343.08","342.95","343.50","342.46","12.97K","0.02%"
"03/12/2024","343.00","343.64","343.88","342.45","13.07K","-0.19%"
"03/11/2024","343.67","342.91","343.79","342.44","13.75K","0.22%"
"03/08/2024","342.91","342.40","342.94","342.30","13.28K","0.15%"
"03/07/2024","342.39","342.57","343.58","342.35","11.40K","-0.07%"
"03/06/2024","342.62","342.21","343.25","341.84","13.33K","0.10%"
"03/05/2024","342.28","343.29","343.43","342.19","12.41K","-0.32%"
"03/04/2024","343.36","344.17","344.24","342.46","14.58K","-0.10%"
"03/01/2024","343.71","343.14","344.11","342.79","15.14K","0.20%"
"02/29/2024","343.03","340.93","343.15","340.88","15.38K","0.52%"
"02/28/2024","341.25","344.14","344.61","341.17","15.17K","-0.84%"
"02/27/2024","344.13","343.31","344.20","342.80","13.28K","0.22%"
"02/26/2024","343.36","344.79","345.25","342.88","11.58K","-0.38%"
"02/23/2024","344.68","344.32","345.21","343.63","13.01K","0.10%"
"02/22/2024","344.35","343.42","344.47","342.84","17.56K","0.28%"
"02/21/2024","343.39","341.12","344.92","340.86","18.13K","0.59%"
"02/20/2024","341.37","338.90","341.45","338.30","16.24K","0.75%"
"02/19/2024","338.84","338.34","339.43","337.77","14.63K","0.36%"